,generalElectionVote,Vote
19708,Labour,Labour
19709,Conservative,Conservative
19710,Labour,Labour
19711,Labour,Labour
19712,Conservative,Conservative
19713,Conservative,Conservative
19714,Liberal Democrat,Liberal Democrat
19715,Conservative,Conservative
19716,Labour,Labour
19717,Labour,Labour
19718,Brexit Party,Brexit Party
19719,Conservative,Conservative
19720,Brexit Party,Brexit Party
19721,Labour,Labour
19722,Liberal Democrat,Liberal Democrat
19723,Conservative,Conservative
19724,Liberal Democrat,Liberal Democrat
19725,Liberal Democrat,Liberal Democrat
19726,Liberal Democrat,Liberal Democrat
19727,Conservative,Conservative
19728,Conservative,Conservative
19729,Conservative,Conservative
19730,Labour,Labour
19731,Conservative,Conservative
19732,Liberal Democrat,Liberal Democrat
19733,Labour,Labour
19734,Brexit Party,Brexit Party
19735,Green Party,Green Party
19736,Conservative,Conservative
19737,Conservative,Conservative
19738,Conservative,Conservative
19739,An independent candidate,An independent candidate
19740,Conservative,Conservative
19741,Labour,Labour
19742,Brexit Party,Brexit Party
19743,Brexit Party,Brexit Party
19744,An independent candidate,An independent candidate
19745,Green Party,Green Party
19746,Labour,Labour
19747,Conservative,Conservative
19748,Liberal Democrat,Liberal Democrat
19749,Conservative,Conservative
19750,Liberal Democrat,Liberal Democrat
19751,Labour,Labour
19752,Conservative,Conservative
19753,Conservative,Conservative
19754,Conservative,Conservative
19755,Conservative,Conservative
19756,Labour,Labour
19757,Conservative,Conservative
19758,Conservative,Conservative
19759,Labour,Labour
19760,Conservative,Conservative
19761,Conservative,Conservative
19762,Conservative,Conservative
19763,Labour,Labour
19764,Brexit Party,Brexit Party
19765,Conservative,Conservative
19766,Conservative,Conservative
19767,Labour,Labour
19768,Conservative,Conservative
19769,Conservative,Conservative
19770,Green Party,Green Party
19771,Conservative,Conservative
19772,Conservative,Conservative
19773,Liberal Democrat,Liberal Democrat
19774,Labour,Labour
19775,Liberal Democrat,Liberal Democrat
19776,Conservative,Conservative
19777,Conservative,Conservative
19778,Conservative,Conservative
19779,Green Party,Green Party
19780,Liberal Democrat,Liberal Democrat
19781,Liberal Democrat,Liberal Democrat
19782,Labour,Labour
19783,Conservative,Conservative
19784,Conservative,Conservative
19785,Conservative,Conservative
19786,Conservative,Conservative
19787,Brexit Party,Brexit Party
19788,Liberal Democrat,Liberal Democrat
19789,Conservative,Conservative
19790,Conservative,Conservative
19791,Conservative,Conservative
19792,Labour,Labour
19793,Brexit Party,Brexit Party
19794,Brexit Party,Brexit Party
19795,Liberal Democrat,Liberal Democrat
19796,Brexit Party,Brexit Party
19797,Labour,Labour
19798,Labour,Labour
19799,Liberal Democrat,Liberal Democrat
19800,Brexit Party,Brexit Party
19801,Labour,Labour
19802,Liberal Democrat,Liberal Democrat
19803,Conservative,Conservative
19804,Conservative,Conservative
19805,Labour,Labour
19806,Liberal Democrat,Liberal Democrat
19807,Labour,Labour
19808,Conservative,Conservative
19809,Conservative,Conservative
19810,Liberal Democrat,Liberal Democrat
19811,Green Party,Green Party
19812,Conservative,Conservative
19813,Labour,Labour
19814,Conservative,Conservative
19815,Conservative,Conservative
19816,Conservative,Conservative
19817,Labour,Labour
19818,Liberal Democrat,Liberal Democrat
19819,Liberal Democrat,Liberal Democrat
19820,Labour,Labour
19821,Green Party,Green Party
19822,Conservative,Conservative
19823,Liberal Democrat,Liberal Democrat
19824,Conservative,Conservative
19825,Conservative,Conservative
19826,Conservative,Conservative
19827,Conservative,Conservative
19828,Conservative,Conservative
19829,Conservative,Conservative
19830,Liberal Democrat,Liberal Democrat
19831,Conservative,Conservative
19832,Conservative,Conservative
19833,Liberal Democrat,Liberal Democrat
19834,Liberal Democrat,Liberal Democrat
19835,Conservative,Conservative
19836,Labour,Labour
19837,Labour,Labour
19838,Labour,Labour
19839,Conservative,Conservative
19840,Liberal Democrat,Liberal Democrat
19841,Conservative,Conservative
19842,Labour,Labour
19843,Liberal Democrat,Liberal Democrat
19844,Labour,Labour
19845,Green Party,Green Party
19846,Conservative,Conservative
19847,Green Party,Green Party
19848,Green Party,Green Party
19849,Labour,Labour
19850,Conservative,Conservative
19851,Liberal Democrat,Liberal Democrat
19852,Brexit Party,Brexit Party
19853,Liberal Democrat,Liberal Democrat
19854,Conservative,Conservative
19855,Conservative,Conservative
19856,Brexit Party,Brexit Party
19857,Labour,Labour
19858,Brexit Party,Brexit Party
19859,Liberal Democrat,Liberal Democrat
19860,Liberal Democrat,Liberal Democrat
19861,Liberal Democrat,Liberal Democrat
19862,Conservative,Conservative
19863,Green Party,Green Party
19864,Conservative,Conservative
19865,Conservative,Conservative
19866,Liberal Democrat,Liberal Democrat
19867,Conservative,Conservative
19868,Brexit Party,Brexit Party
19869,Conservative,Conservative
19870,Labour,Labour
19871,Conservative,Conservative
19872,Labour,Labour
19873,Labour,Labour
19874,Labour,Labour
19875,Conservative,Conservative
19876,Conservative,Conservative
19877,Liberal Democrat,Liberal Democrat
19878,Labour,Labour
19879,Conservative,Conservative
19880,Green Party,Green Party
19881,Conservative,Conservative
19882,Conservative,Conservative
19883,Conservative,Conservative
19884,Conservative,Conservative
19885,Liberal Democrat,Liberal Democrat
19886,Labour,Labour
19887,Liberal Democrat,Liberal Democrat
19888,Labour,Labour
19889,Liberal Democrat,Liberal Democrat
19890,Brexit Party,Brexit Party
19891,Conservative,Conservative
19892,Labour,Labour
19893,Liberal Democrat,Liberal Democrat
19894,Conservative,Conservative
19895,Labour,Labour
19896,Brexit Party,Brexit Party
19897,Conservative,Conservative
19898,Conservative,Conservative
19899,Brexit Party,Brexit Party
19900,Liberal Democrat,Liberal Democrat
19901,Conservative,Conservative
19902,Labour,Labour
19903,Conservative,Conservative
19904,Conservative,Conservative
19905,Conservative,Conservative
19906,Conservative,Conservative
19907,Labour,Labour
19908,Labour,Labour
19909,Brexit Party,Brexit Party
19910,Labour,Labour
19911,Labour,Labour
19912,Liberal Democrat,Liberal Democrat
19913,Labour,Labour
19914,Labour,Labour
19915,Conservative,Conservative
19916,Green Party,Green Party
19917,Green Party,Green Party
19918,Liberal Democrat,Liberal Democrat
19919,Labour,Labour
19920,Conservative,Conservative
19921,Conservative,Conservative
19922,Conservative,Conservative
19923,Conservative,Conservative
19924,Labour,Labour
19925,Conservative,Conservative
19926,Labour,Labour
19927,Brexit Party,Brexit Party
19928,Labour,Labour
19929,Conservative,Conservative
19930,Liberal Democrat,Liberal Democrat
19931,Labour,Labour
19932,Labour,Labour
19933,Labour,Labour
19934,Conservative,Conservative
19935,Liberal Democrat,Liberal Democrat
19936,Conservative,Conservative
19937,Liberal Democrat,Liberal Democrat
19938,Brexit Party,Brexit Party
19939,Brexit Party,Brexit Party
19940,Brexit Party,Brexit Party
19941,Liberal Democrat,Liberal Democrat
19942,Liberal Democrat,Liberal Democrat
19943,Conservative,Conservative
19944,Conservative,Conservative
19945,Labour,Labour
19946,Labour,Labour
19947,Labour,Labour
19948,Conservative,Conservative
19949,Conservative,Conservative
19950,Conservative,Conservative
19951,Conservative,Conservative
19952,Liberal Democrat,Liberal Democrat
19953,Conservative,Conservative
19954,Conservative,Conservative
19955,Liberal Democrat,Liberal Democrat
19956,Liberal Democrat,Liberal Democrat
19957,Conservative,Conservative
19958,Labour,Labour
19959,Brexit Party,Brexit Party
19960,Conservative,Conservative
19961,Conservative,Conservative
19962,Conservative,Conservative
19963,Conservative,Conservative
19964,Labour,Labour
19965,Liberal Democrat,Liberal Democrat
19966,Green Party,Green Party
19967,Conservative,Conservative
19968,Labour,Labour
19969,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
19970,Conservative,Conservative
19971,Liberal Democrat,Liberal Democrat
19972,Labour,Labour
19973,Brexit Party,Brexit Party
19974,Liberal Democrat,Liberal Democrat
19975,Labour,Labour
19976,Labour,Labour
19977,Green Party,Green Party
19978,Liberal Democrat,Liberal Democrat
19979,Labour,Labour
19980,Green Party,Green Party
19981,Conservative,Conservative
19982,Conservative,Conservative
19983,Conservative,Conservative
19984,Conservative,Conservative
19985,Conservative,Conservative
19986,Liberal Democrat,Liberal Democrat
19987,Conservative,Conservative
19988,Labour,Labour
19989,Labour,Labour
19990,Liberal Democrat,Liberal Democrat
19991,Conservative,Conservative
19992,Liberal Democrat,Liberal Democrat
19993,Conservative,Conservative
19994,Conservative,Conservative
19995,Labour,Labour
19996,Labour,Labour
19997,Conservative,Conservative
19998,Labour,Labour
19999,Conservative,Conservative
20000,Labour,Labour
20001,Brexit Party,Brexit Party
20002,Labour,Labour
20003,Conservative,Conservative
20004,Conservative,Conservative
20005,Brexit Party,Brexit Party
20006,Labour,Labour
20007,Conservative,Conservative
20008,Conservative,Conservative
20009,Conservative,Conservative
20010,Conservative,Conservative
20011,Labour,Labour
20012,Labour,Labour
20013,Liberal Democrat,Liberal Democrat
20014,Labour,Labour
20015,Conservative,Conservative
20016,Labour,Labour
20017,Liberal Democrat,Liberal Democrat
20018,Labour,Labour
20019,Labour,Labour
20020,Conservative,Conservative
20021,Liberal Democrat,Liberal Democrat
20022,Liberal Democrat,Liberal Democrat
20023,An independent candidate,An independent candidate
20024,Brexit Party,Brexit Party
20025,Conservative,Conservative
20026,Labour,Labour
20027,Labour,Labour
20028,Conservative,Conservative
20029,Conservative,Conservative
20030,Conservative,Conservative
20031,Liberal Democrat,Liberal Democrat
20032,Labour,Labour
20033,Conservative,Conservative
20034,Labour,Labour
20035,Brexit Party,Brexit Party
20036,Labour,Labour
20037,Conservative,Conservative
20038,Green Party,Green Party
20039,Conservative,Conservative
20040,Liberal Democrat,Liberal Democrat
20041,Labour,Labour
20042,Liberal Democrat,Liberal Democrat
20043,Liberal Democrat,Liberal Democrat
20044,Conservative,Conservative
20045,Liberal Democrat,Liberal Democrat
20046,Labour,Labour
20047,Conservative,Conservative
20048,Brexit Party,Brexit Party
20049,Conservative,Conservative
20050,Conservative,Conservative
20051,Conservative,Conservative
20052,Labour,Labour
20053,Labour,Labour
20054,Labour,Labour
20055,Brexit Party,Brexit Party
20056,Conservative,Conservative
20057,Liberal Democrat,Liberal Democrat
20058,Brexit Party,Brexit Party
20059,Liberal Democrat,Liberal Democrat
20060,Conservative,Conservative
20061,Conservative,Conservative
20062,Conservative,Conservative
20063,Labour,Labour
20064,Labour,Labour
20065,Conservative,Conservative
20066,Liberal Democrat,Liberal Democrat
20067,Liberal Democrat,Liberal Democrat
20068,Liberal Democrat,Liberal Democrat
20069,Conservative,Conservative
20070,Liberal Democrat,Liberal Democrat
20071,Conservative,Conservative
20072,Conservative,Conservative
20073,Liberal Democrat,Liberal Democrat
20074,Labour,Labour
20075,Liberal Democrat,Liberal Democrat
20076,Labour,Labour
20077,Green Party,Green Party
20078,Liberal Democrat,Liberal Democrat
20079,Brexit Party,Brexit Party
20080,Liberal Democrat,Liberal Democrat
20081,Conservative,Conservative
20082,Liberal Democrat,Liberal Democrat
20083,Liberal Democrat,Liberal Democrat
20084,Conservative,Conservative
20085,Labour,Labour
20086,Labour,Labour
20087,Labour,Labour
20088,Conservative,Conservative
20089,Brexit Party,Brexit Party
20090,Conservative,Conservative
20091,Labour,Labour
20092,Conservative,Conservative
20093,An independent candidate,An independent candidate
20094,Brexit Party,Brexit Party
20095,Conservative,Conservative
20096,Brexit Party,Brexit Party
20097,Liberal Democrat,Liberal Democrat
20098,Brexit Party,Brexit Party
20099,Labour,Labour
20100,Labour,Labour
20101,Conservative,Conservative
20102,Liberal Democrat,Liberal Democrat
20103,Conservative,Conservative
20104,Liberal Democrat,Liberal Democrat
20105,Liberal Democrat,Liberal Democrat
20106,Brexit Party,Brexit Party
20107,Conservative,Conservative
20108,Conservative,Conservative
20109,Labour,Labour
20110,Conservative,Conservative
20111,Conservative,Conservative
20112,Labour,Labour
20113,Brexit Party,Brexit Party
20114,Conservative,Conservative
20115,Labour,Labour
20116,Conservative,Conservative
20117,Conservative,Conservative
20118,Brexit Party,Brexit Party
20119,Liberal Democrat,Liberal Democrat
20120,Labour,Labour
20121,Conservative,Conservative
20122,Liberal Democrat,Liberal Democrat
20123,Labour,Labour
20124,Liberal Democrat,Liberal Democrat
20125,Labour,Labour
20126,Conservative,Conservative
20127,Conservative,Conservative
20128,Liberal Democrat,Liberal Democrat
20129,Green Party,Green Party
20130,Conservative,Conservative
20131,Labour,Labour
20132,Brexit Party,Brexit Party
20133,Conservative,Conservative
20134,Brexit Party,Brexit Party
20135,Labour,Labour
20136,Conservative,Conservative
20137,Liberal Democrat,Liberal Democrat
20138,Conservative,Conservative
20139,Conservative,Conservative
20140,Labour,Labour
20141,Conservative,Conservative
20142,Liberal Democrat,Liberal Democrat
20143,Labour,Labour
20144,Labour,Labour
20145,Labour,Labour
20146,Conservative,Conservative
20147,Liberal Democrat,Liberal Democrat
20148,Conservative,Conservative
20149,Labour,Labour
20150,Liberal Democrat,Liberal Democrat
20151,Labour,Labour
20152,Conservative,Conservative
20153,Conservative,Conservative
20154,Conservative,Conservative
20155,Brexit Party,Brexit Party
20156,Conservative,Conservative
20157,Liberal Democrat,Liberal Democrat
20158,Conservative,Conservative
20159,Liberal Democrat,Liberal Democrat
20160,Liberal Democrat,Liberal Democrat
20161,Conservative,Conservative
20162,Conservative,Conservative
20163,Labour,Labour
20164,Labour,Labour
20165,Liberal Democrat,Liberal Democrat
20166,Labour,Labour
20167,Labour,Labour
20168,Conservative,Conservative
20169,Conservative,Conservative
20170,Conservative,Conservative
20171,Conservative,Conservative
20172,Conservative,Conservative
20173,Conservative,Conservative
20174,Labour,Labour
20175,Conservative,Conservative
20176,Labour,Labour
20177,Liberal Democrat,Liberal Democrat
20178,Liberal Democrat,Liberal Democrat
20179,Liberal Democrat,Liberal Democrat
20180,Conservative,Conservative
20181,Labour,Labour
20182,Labour,Labour
20183,Labour,Labour
20184,Liberal Democrat,Liberal Democrat
20185,Labour,Labour
20186,Conservative,Conservative
20187,Labour,Labour
20188,Brexit Party,Brexit Party
20189,Labour,Labour
20190,Labour,Labour
20191,Conservative,Conservative
20192,Labour,Labour
20193,Conservative,Conservative
20194,Conservative,Conservative
20195,Conservative,Conservative
20196,Conservative,Conservative
20197,Conservative,Conservative
20198,Conservative,Conservative
20199,Labour,Labour
20200,Conservative,Conservative
20201,Brexit Party,Brexit Party
20202,Labour,Labour
20203,Conservative,Conservative
20204,Conservative,Conservative
20205,Labour,Labour
20206,Labour,Labour
20207,Green Party,Green Party
20208,Conservative,Conservative
20209,Labour,Labour
20210,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
20211,Conservative,Conservative
20212,Conservative,Conservative
20213,Liberal Democrat,Liberal Democrat
20214,Conservative,Conservative
20215,Labour,Labour
20216,Green Party,Green Party
20217,Conservative,Conservative
20218,Labour,Labour
20219,Conservative,Conservative
20220,Labour,Labour
20221,Brexit Party,Brexit Party
20222,Labour,Labour
20223,Labour,Labour
20224,Conservative,Conservative
20225,Brexit Party,Brexit Party
20226,Conservative,Conservative
20227,Conservative,Conservative
20228,Conservative,Conservative
20229,Conservative,Conservative
20230,Conservative,Conservative
20231,Labour,Labour
20232,Conservative,Conservative
20233,Liberal Democrat,Liberal Democrat
20234,Conservative,Conservative
20235,Conservative,Conservative
20236,Brexit Party,Brexit Party
20237,Labour,Labour
20238,Labour,Labour
20239,Liberal Democrat,Liberal Democrat
20240,Liberal Democrat,Liberal Democrat
20241,Liberal Democrat,Liberal Democrat
20242,Conservative,Conservative
20243,Labour,Labour
20244,Conservative,Conservative
20245,Conservative,Conservative
20246,Labour,Labour
20247,Conservative,Conservative
20248,Green Party,Green Party
20249,Liberal Democrat,Liberal Democrat
20250,Liberal Democrat,Liberal Democrat
20251,Brexit Party,Brexit Party
20252,Brexit Party,Brexit Party
20253,Labour,Labour
20254,Labour,Labour
20255,Labour,Labour
20256,Labour,Labour
20257,Labour,Labour
20258,Conservative,Conservative
20259,Conservative,Conservative
20260,Conservative,Conservative
20261,Liberal Democrat,Liberal Democrat
20262,Liberal Democrat,Liberal Democrat
20263,Conservative,Conservative
20264,Labour,Labour
20265,Conservative,Conservative
20266,Labour,Labour
20267,Green Party,Green Party
20268,Conservative,Conservative
20269,Labour,Labour
20270,Labour,Labour
20271,Brexit Party,Brexit Party
20272,Liberal Democrat,Liberal Democrat
20273,Liberal Democrat,Liberal Democrat
20274,Liberal Democrat,Liberal Democrat
20275,Liberal Democrat,Liberal Democrat
20276,Conservative,Conservative
20277,Conservative,Conservative
20278,Conservative,Conservative
20279,Conservative,Conservative
20280,Liberal Democrat,Liberal Democrat
20281,Conservative,Conservative
20282,Brexit Party,Brexit Party
20283,Conservative,Conservative
20284,Labour,Labour
20285,Labour,Labour
20286,Conservative,Conservative
20287,Conservative,Conservative
20288,Conservative,Conservative
20289,Conservative,Conservative
20290,Labour,Labour
20291,Labour,Labour
20292,Conservative,Conservative
20293,Labour,Labour
20294,Conservative,Conservative
20295,Labour,Labour
20296,Liberal Democrat,Liberal Democrat
20297,Green Party,Green Party
20298,Conservative,Conservative
20299,Labour,Labour
20300,Conservative,Conservative
20301,Conservative,Conservative
20302,Liberal Democrat,Liberal Democrat
20303,Brexit Party,Brexit Party
20304,Conservative,Conservative
20305,Labour,Labour
20306,Brexit Party,Brexit Party
20307,Conservative,Conservative
20308,Brexit Party,Brexit Party
20309,Conservative,Conservative
20310,Labour,Labour
20311,Brexit Party,Brexit Party
20312,Conservative,Conservative
20313,Labour,Labour
20314,Conservative,Conservative
20315,Labour,Labour
20316,Conservative,Conservative
20317,Conservative,Conservative
20318,Conservative,Conservative
20319,Labour,Labour
20320,Labour,Labour
20321,Green Party,Green Party
20322,Conservative,Conservative
20323,Conservative,Conservative
20324,Conservative,Conservative
20325,Conservative,Conservative
20326,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
20327,Conservative,Conservative
20328,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
20329,Liberal Democrat,Liberal Democrat
20330,Conservative,Conservative
20331,Labour,Labour
20332,Labour,Labour
20333,Labour,Labour
20334,Liberal Democrat,Liberal Democrat
20335,Conservative,Conservative
20336,Conservative,Conservative
20337,Conservative,Conservative
20338,Brexit Party,Brexit Party
20339,Liberal Democrat,Liberal Democrat
20340,Liberal Democrat,Liberal Democrat
20341,Labour,Labour
20342,Liberal Democrat,Liberal Democrat
20343,Conservative,Conservative
20344,Conservative,Conservative
20345,Labour,Labour
20346,Conservative,Conservative
20347,Conservative,Conservative
20348,Liberal Democrat,Liberal Democrat
20349,Liberal Democrat,Liberal Democrat
20350,Conservative,Conservative
20351,Conservative,Conservative
20352,Liberal Democrat,Liberal Democrat
20353,Brexit Party,Brexit Party
20354,An independent candidate,An independent candidate
20355,Liberal Democrat,Liberal Democrat
20356,Labour,Labour
20357,Brexit Party,Brexit Party
20358,Labour,Labour
20359,Liberal Democrat,Liberal Democrat
20360,Labour,Labour
20361,Conservative,Conservative
20362,Brexit Party,Brexit Party
20363,Conservative,Conservative
20364,Labour,Labour
20365,Labour,Labour
20366,Conservative,Conservative
20367,Conservative,Conservative
20368,Labour,Labour
20369,Conservative,Conservative
20370,Labour,Labour
20371,Conservative,Conservative
20372,Labour,Labour
20373,Labour,Labour
20374,Brexit Party,Brexit Party
20375,Labour,Labour
20376,Conservative,Conservative
20377,Liberal Democrat,Liberal Democrat
20378,Labour,Labour
20379,Labour,Labour
20380,Liberal Democrat,Liberal Democrat
20381,Conservative,Conservative
20382,Labour,Labour
20383,Conservative,Conservative
20384,Labour,Labour
20385,Conservative,Conservative
20386,Labour,Labour
20387,Liberal Democrat,Liberal Democrat
20388,Labour,Labour
20389,Liberal Democrat,Liberal Democrat
20390,Labour,Labour
20391,Brexit Party,Brexit Party
20392,Conservative,Conservative
20393,Labour,Labour
20394,Conservative,Conservative
20395,Labour,Labour
20396,Conservative,Conservative
20397,Labour,Labour
20398,Brexit Party,Brexit Party
20399,Labour,Labour
20400,Liberal Democrat,Liberal Democrat
20401,Conservative,Conservative
20402,Brexit Party,Brexit Party
20403,Conservative,Conservative
20404,Labour,Labour
20405,Conservative,Conservative
20406,Conservative,Conservative
20407,Labour,Labour
20408,Conservative,Conservative
20409,Labour,Labour
20410,Labour,Labour
20411,Labour,Labour
20412,Labour,Labour
20413,Liberal Democrat,Liberal Democrat
20414,Conservative,Conservative
20415,Conservative,Conservative
20416,Conservative,Conservative
20417,Conservative,Conservative
20418,Liberal Democrat,Liberal Democrat
20419,Conservative,Conservative
20420,Labour,Labour
20421,Conservative,Conservative
20422,Liberal Democrat,Liberal Democrat
20423,Liberal Democrat,Liberal Democrat
20424,Labour,Labour
20425,Liberal Democrat,Liberal Democrat
20426,Liberal Democrat,Liberal Democrat
20427,Conservative,Conservative
20428,Liberal Democrat,Liberal Democrat
20429,Labour,Labour
20430,Liberal Democrat,Liberal Democrat
20431,Liberal Democrat,Liberal Democrat
20432,Labour,Labour
20433,Conservative,Conservative
20434,Liberal Democrat,Liberal Democrat
20435,Labour,Labour
20436,Brexit Party,Brexit Party
20437,Brexit Party,Brexit Party
20438,Liberal Democrat,Liberal Democrat
20439,Conservative,Conservative
20440,Labour,Labour
20441,Conservative,Conservative
20442,Liberal Democrat,Liberal Democrat
20443,Labour,Labour
20444,Labour,Labour
20445,Labour,Labour
20446,Conservative,Conservative
20447,Conservative,Conservative
20448,Liberal Democrat,Liberal Democrat
20449,Conservative,Conservative
20450,Liberal Democrat,Liberal Democrat
20451,Conservative,Conservative
20452,Conservative,Conservative
20453,Conservative,Conservative
20454,Labour,Labour
20455,Labour,Labour
20456,Conservative,Conservative
20457,Liberal Democrat,Liberal Democrat
20458,Labour,Labour
20459,Liberal Democrat,Liberal Democrat
20460,Conservative,Conservative
20461,Conservative,Conservative
20462,Brexit Party,Brexit Party
20463,Labour,Labour
20464,Labour,Labour
20465,Liberal Democrat,Liberal Democrat
20466,Conservative,Conservative
20467,Labour,Labour
20468,Labour,Labour
20469,Conservative,Conservative
20470,Labour,Labour
20471,Conservative,Conservative
20472,Labour,Labour
20473,Liberal Democrat,Liberal Democrat
20474,Labour,Labour
20475,Green Party,Green Party
20476,Conservative,Conservative
20477,Conservative,Conservative
20478,Liberal Democrat,Liberal Democrat
20479,Liberal Democrat,Liberal Democrat
20480,Liberal Democrat,Liberal Democrat
20481,Conservative,Conservative
20482,Conservative,Conservative
20483,Liberal Democrat,Liberal Democrat
20484,Conservative,Conservative
20485,Conservative,Conservative
20486,Labour,Labour
20487,Liberal Democrat,Liberal Democrat
20488,Brexit Party,Brexit Party
20489,Conservative,Conservative
20490,Labour,Labour
20491,Conservative,Conservative
20492,Liberal Democrat,Liberal Democrat
20493,Conservative,Conservative
20494,Labour,Labour
20495,Labour,Labour
20496,Brexit Party,Brexit Party
20497,Labour,Labour
20498,Conservative,Conservative
20499,Brexit Party,Brexit Party
20500,Labour,Labour
20501,Conservative,Conservative
20502,Liberal Democrat,Liberal Democrat
20503,Conservative,Conservative
20504,Green Party,Green Party
20505,Conservative,Conservative
20506,Liberal Democrat,Liberal Democrat
20507,Liberal Democrat,Liberal Democrat
20508,Conservative,Conservative
20509,Conservative,Conservative
20510,Liberal Democrat,Liberal Democrat
20511,Conservative,Conservative
20512,Labour,Labour
20513,Labour,Labour
20514,Conservative,Conservative
20515,Labour,Labour
20516,Labour,Labour
20517,Labour,Labour
20518,Conservative,Conservative
20519,Liberal Democrat,Liberal Democrat
20520,Liberal Democrat,Liberal Democrat
20521,Conservative,Conservative
20522,Labour,Labour
20523,Liberal Democrat,Liberal Democrat
20524,Liberal Democrat,Liberal Democrat
20525,Brexit Party,Brexit Party
20526,Labour,Labour
20527,Conservative,Conservative
20528,Conservative,Conservative
20529,Brexit Party,Brexit Party
20530,Brexit Party,Brexit Party
20531,Labour,Labour
20532,Labour,Labour
20533,Labour,Labour
20534,Conservative,Conservative
20535,Labour,Labour
20536,Conservative,Conservative
20537,Conservative,Conservative
20538,Brexit Party,Brexit Party
20539,Conservative,Conservative
20540,Conservative,Conservative
20541,Liberal Democrat,Liberal Democrat
20542,Liberal Democrat,Liberal Democrat
20543,Conservative,Conservative
20544,Conservative,Conservative
20545,Labour,Labour
20546,Green Party,Green Party
20547,Conservative,Conservative
20548,Green Party,Green Party
20549,Labour,Labour
20550,Brexit Party,Brexit Party
20551,Conservative,Conservative
20552,Brexit Party,Brexit Party
20553,Conservative,Conservative
20554,Labour,Labour
20555,Green Party,Green Party
20556,Liberal Democrat,Liberal Democrat
20557,Conservative,Conservative
20558,Labour,Labour
20559,Conservative,Conservative
20560,Labour,Labour
20561,Conservative,Conservative
20562,Labour,Labour
20563,Labour,Labour
20564,Labour,Labour
20565,Conservative,Conservative
20566,Conservative,Conservative
20567,Labour,Labour
20568,Labour,Labour
20569,Labour,Labour
20570,Labour,Labour
20571,Liberal Democrat,Liberal Democrat
20572,Labour,Labour
20573,Conservative,Conservative
20574,Liberal Democrat,Liberal Democrat
20575,Labour,Labour
20576,Labour,Labour
20577,Conservative,Conservative
20578,Labour,Labour
20579,Conservative,Conservative
20580,Conservative,Conservative
20581,Conservative,Conservative
20582,Liberal Democrat,Liberal Democrat
20583,Liberal Democrat,Liberal Democrat
20584,Brexit Party,Brexit Party
20585,Liberal Democrat,Liberal Democrat
20586,Labour,Labour
20587,Conservative,Conservative
20588,Labour,Labour
20589,Labour,Labour
20590,Green Party,Green Party
20591,Labour,Labour
20592,Conservative,Conservative
20593,Labour,Labour
20594,Liberal Democrat,Liberal Democrat
20595,Liberal Democrat,Liberal Democrat
20596,Liberal Democrat,Liberal Democrat
20597,Conservative,Conservative
20598,Labour,Labour
20599,Labour,Labour
20600,Liberal Democrat,Liberal Democrat
20601,Brexit Party,Brexit Party
20602,Liberal Democrat,Liberal Democrat
20603,Liberal Democrat,Liberal Democrat
20604,Conservative,Conservative
20605,Labour,Labour
20606,Conservative,Conservative
20607,Liberal Democrat,Liberal Democrat
20608,Labour,Labour
20609,Brexit Party,Brexit Party
20610,Liberal Democrat,Liberal Democrat
20611,Labour,Labour
20612,Liberal Democrat,Liberal Democrat
20613,Labour,Labour
20614,Conservative,Conservative
20615,Labour,Labour
20616,Labour,Labour
20617,Liberal Democrat,Liberal Democrat
20618,Conservative,Conservative
20619,Liberal Democrat,Liberal Democrat
20620,Conservative,Conservative
20621,Labour,Labour
20622,Labour,Labour
20623,Conservative,Conservative
20624,Liberal Democrat,Liberal Democrat
20625,Labour,Labour
20626,Liberal Democrat,Liberal Democrat
20627,Liberal Democrat,Liberal Democrat
20628,Liberal Democrat,Liberal Democrat
20629,Conservative,Conservative
20630,Conservative,Conservative
20631,Labour,Labour
20632,Labour,Labour
20633,Liberal Democrat,Liberal Democrat
20634,Labour,Labour
20635,Brexit Party,Brexit Party
20636,Brexit Party,Brexit Party
20637,Conservative,Conservative
20638,Liberal Democrat,Liberal Democrat
20639,Brexit Party,Brexit Party
20640,Liberal Democrat,Liberal Democrat
20641,Labour,Labour
20642,Labour,Labour
20643,Conservative,Conservative
20644,Labour,Labour
20645,Labour,Labour
20646,Liberal Democrat,Liberal Democrat
20647,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
20648,Labour,Labour
20649,Conservative,Conservative
20650,Brexit Party,Brexit Party
20651,Labour,Labour
20652,Conservative,Conservative
20653,Conservative,Conservative
20654,Green Party,Green Party
20655,Liberal Democrat,Liberal Democrat
20656,Liberal Democrat,Liberal Democrat
20657,Labour,Labour
20658,Labour,Labour
20659,Brexit Party,Brexit Party
20660,Conservative,Conservative
20661,Labour,Labour
20662,Labour,Labour
20663,Labour,Labour
20664,Brexit Party,Brexit Party
20665,Labour,Labour
20666,Conservative,Conservative
20667,Labour,Labour
20668,Brexit Party,Brexit Party
20669,Labour,Labour
20670,Labour,Labour
20671,Labour,Labour
20672,Brexit Party,Brexit Party
20673,Conservative,Conservative
